Unnamed: 0.1.1,link,total_claps,total_responses,total_claps_scaled,total_responses_scaled,score
569,https://medium.com/a-seasoned-woman/em-dash-ians-of-the-world-unite-ea2d79f55283,2700,47,0.041000440076279884,0.06942392909896603,0.052369835685354346
639,https://medium.com/the-write-brain/the-3-things-that-matter-most-on-medium-fa75baf97568,4200,19,0.06850520756931201,0.02806499261447563,0.052329121587377465
630,https://medium.com/the-write-brain/i-earned-50k-with-a-6-week-old-email-list-63afa3aece31,4300,17,0.07033885873551415,0.025110782865583457,0.05224762838754188
1051,https://medium.com/the-post-grad-survival-guide/8-important-lessons-i-never-learned-in-school-774f48070b3,4000,22,0.06483790523690773,0.03249630723781389,0.0519012660372702
95,https://humanparts.medium.com/the-boy-in-the-window-6d69fac460d3,3400,33,0.05383599823969488,0.04874446085672083,0.05179938328650526
289,https://medium.com/finding-tom/medium-may-be-making-a-big-change-36b541716119,4200,18,0.06850520756931201,0.026587887740029542,0.05173827963759902
1488,https://medium.com/better-marketing/why-you-should-ignore-your-claps-on-medium-7da879a5eadb,3500,31,0.05566964940589701,0.04579025110782866,0.05171789008666967
870,https://writingcooperative.com/10-steps-to-turn-draft-1-into-a-published-piece-that-you-can-be-proud-of-bbb9201806dc,3700,27,0.059336951738301315,0.03988183161004431,0.051554903686998506
962,https://medium.com/@timdenning/mediums-recent-changes-have-not-been-good-for-me-here-s-why-583f236bd702,3700,27,0.059336951738301315,0.03988183161004431,0.051554903686998506
1227,https://medium.com/@Chef_BoyarDEJI/the-secret-to-making-a-full-time-living-as-a-creator-9553d5a581bb,3700,27,0.059336951738301315,0.03988183161004431,0.051554903686998506
64,https://medium.muz.li/design-inspiration-resources-2019-1cce24b256e5,4600,10,0.07583981223412058,0.01477104874446086,0.051412306838256684
143,https://humanparts.medium.com/its-all-process-90921727d5e6,3900,23,0.06300425407070559,0.033973412112259974,0.05139191728732734
964,https://medium.com/swlh/the-truth-about-digital-nomads-and-working-from-the-beach-ceea7425db76,4000,21,0.06483790523690773,0.0310192023633678,0.051310424087491764
1,https://medium.muz.li/ui-interactions-of-the-week-124-44195d37105f,5000,2,0.08317441689892914,0.0029542097488921715,0.05108633403891436
575,https://medium.com/splatterme/getting-screwed-over-is-good-for-you-403af87e0a48,3600,28,0.05750330057209915,0.041358936484490405,0.051045554937055655
558,https://medium.com/publishous/how-to-write-something-new-every-day-without-losing-your-mind-c15931484452,3800,24,0.06117060290450345,0.035450516986706065,0.050882568537384494
755,https://medium.com/swlh/how-to-hold-walking-meetings-and-why-8e91804b36b4,3900,22,0.06300425407070559,0.03249630723781389,0.050801075337548914
263,https://writingcooperative.com/how-to-write-every-day-and-not-post-stuff-that-sucks-95d27fce4cee,3200,35,0.0501686959072906,0.051698670605613,0.05078068578661956
620,https://medium.com/swlh/want-to-clear-thinking-make-this-simple-tweak-to-your-daily-routine-immedately-35c52902369,4000,20,0.06483790523690773,0.02954209748892172,0.050719582137713326
530,https://medium.com/publishous/the-tantalizing-truth-about-really-amazing-writers-fefa0120d750,3600,27,0.05750330057209915,0.03988183161004431,0.05045471298727722
636,https://medium.com/the-write-brain/how-to-never-run-out-of-things-to-blog-about-614f7961a204,3700,25,0.059336951738301315,0.036927621861152136,0.050373219787441637
714,https://medium.com/better-marketing/how-to-generate-zero-income-with-your-published-work-online-2f82ec12d77b,3700,25,0.059336951738301315,0.036927621861152136,0.050373219787441637
388,https://medium.com/annapoetics/do-not-push-87bb454e5265,3800,23,0.06117060290450345,0.033973412112259974,0.050291726587606056
327,https://medium.com/the-book-mechanic/how-to-write-a-high-quality-novel-in-one-draft-with-no-outline-bfa5f65fc54e,3100,36,0.048335044741088455,0.053175775480059084,0.0502713370366767
378,https://medium.com/@shauntagrimes/how-to-make-a-living-writing-fiction-you-arent-going-to-like-this-ec30ca8189a2,3900,21,0.06300425407070559,0.0310192023633678,0.05021023338777048
1615,https://medium.com/personal-growth/the-purpose-of-life-used-to-be-presence-today-its-novelty-88a7daea2424,3900,21,0.06300425407070559,0.0310192023633678,0.05021023338777048
939,https://medium.muz.li/weekly-inspiration-for-designers-147-47ac6a028283,4800,4,0.07950711456652486,0.005908419497784343,0.050067636539028654
2,https://medium.com/better-marketing/how-to-write-up-to-5-000-words-per-day-b767494e1a28,3400,30,0.05383599823969488,0.044313146233382575,0.05002685743716996
899,https://medium.com/publishous/this-is-how-you-become-liberated-by-your-insignificance-a0080a8070d2,3800,22,0.06117060290450345,0.03249630723781389,0.049700884637827625
1461,https://medium.com/the-write-brain/how-to-be-a-working-writer-in-2020-b046ce861046,3800,22,0.06117060290450345,0.03249630723781389,0.049700884637827625
199,https://medium.com/@krisgage/why-your-writing-isnt-where-you-want-it-to-be-f4086b8b6eb1,3100,35,0.048335044741088455,0.051698670605613,0.04968049508689827
96,https://medium.com/copywriting-secrets/how-to-make-your-writing-captivating-with-one-simple-technique-95d3473c8a6e,3900,20,0.06300425407070559,0.02954209748892172,0.04961939143799204
864,https://medium.com/@Shesreallyfat/how-i-decide-what-to-write-about-55ec5b29ff9c,4000,18,0.06483790523690773,0.026587887740029542,0.049537898238156464
1275,https://medium.com/personal-growth/how-i-use-a-simple-night-before-questions-checklist-to-greatly-improve-my-day-and-life-2088e9620,4200,14,0.06850520756931201,0.020679468242245203,0.04937491183848529
581,https://medium.com/the-mission/lessons-from-da-vinci-on-work-and-life-954fb29bd5f,4200,14,0.06850520756931201,0.020679468242245203,0.04937491183848529
455,https://medium.com/write-stuff/want-to-be-a-professional-writer-here-are-the-10-things-no-one-ever-tells-you-403e96ecb2ba,3500,27,0.05566964940589701,0.03988183161004431,0.04935452228755593
263,https://medium.com/thrive-global/the-biggest-brain-benefits-of-taking-a-daily-nap-c82d1b0f15a0,4300,12,0.07033885873551415,0.017725258493353033,0.049293418638649715
4,https://medium.muz.li/muzli-choices-in-design-for-2017-8d9105f7af14,4400,10,0.0721725099017163,0.01477104874446086,0.049211925438814114
1677,https://writingcooperative.com/to-become-a-successful-writer-write-less-and-write-poorly-393843cd5964,3200,32,0.0501686959072906,0.047267355982274745,0.04900815993728426
211,https://medium.muz.li/weekly-inspiration-for-designers-145-ab3aabd5dfd1,4800,2,0.07950711456652486,0.0029542097488921715,0.04888595263947178
1226,https://medium.com/the-1000-day-mfa/7-things-you-should-stop-doing-now-if-you-want-to-be-a-writer-a25fa4895d78,3700,22,0.059336951738301315,0.03249630723781389,0.048600693938106336
661,https://medium.com/publishous/this-is-how-to-strike-blogging-gold-but-it-s-rare-33fa80cb8417,3100,33,0.048335044741088455,0.04874446085672083,0.04849881118734141
858,https://medium.com/swlh/how-unexpected-tools-can-make-your-organization-more-productive-169a42b92a77,3900,18,0.06300425407070559,0.026587887740029542,0.04843770753843517
619,https://medium.muz.li/weekly-inspiration-for-designers-151-7769915ad572,4700,3,0.07767346340032273,0.004431314623338257,0.048376603889528934
6,https://medium.com/@RyanHoliday/want-to-be-the-best-writer-on-the-planet-do-these-27-things-immediately-9932c182b29b,4200,12,0.06850520756931201,0.017725258493353033,0.04819322793892841
287,https://humanparts.medium.com/want-to-write-about-your-life-start-here-a7228f031c86,4200,12,0.06850520756931201,0.017725258493353033,0.04819322793892841
993,https://medium.com/@lianafinck/the-daily-rituals-of-a-new-yorker-cartoonist-freelance-edition-17ddea7470ae,3500,25,0.05566964940589701,0.036927621861152136,0.04817283838799906
743,https://medium.muz.li/ui-interactions-of-the-week-109-f081d62daac,4500,6,0.07400616106791844,0.008862629246676516,0.04794874833942167
460,https://writingcooperative.com/the-personal-essay-is-not-dead-215cb623966e,3900,17,0.06300425407070559,0.025110782865583457,0.04784686558865674
502,https://medium.com/the-write-brain/5-things-everyone-should-do-before-lunch-fd121de797f6,3300,28,0.05200234707349274,0.041358936484490405,0.0477449828378918
1066,https://writingcooperative.com/why-going-off-grid-is-important-for-the-creative-process-86b697380a91,3500,24,0.05566964940589701,0.035450516986706065,0.04758199643822063
1201,https://writingcooperative.com/wheres-the-line-of-oversharing-205653113df3,3600,22,0.05750330057209915,0.03249630723781389,0.04750050323838505
383,https://forge.medium.com/to-do-big-things-take-on-microprojects-9db36767c488,3800,18,0.06117060290450345,0.026587887740029542,0.047337516838713886
163,https://psiloveyou.xyz/this-is-what-happens-when-she-finds-herself-15e2ed972676,3900,16,0.06300425407070559,0.02363367799113737,0.0472560236388783
1391,https://medium.com/@JessicaLexicus/its-hard-to-be-authentic-ea3b6f6ce0fe,3200,29,0.0501686959072906,0.04283604135893649,0.04723563408794895
639,https://medium.com/an-injustice/write-for-us-b67daf126c25,1800,55,0.02449757958046061,0.08124076809453472,0.04719485498609025
1057,https://medium.com/@AlexMonaco/3-reasons-why-you-shouldnt-write-on-medium-2724250bf7cd,3300,27,0.05200234707349274,0.03988183161004431,0.04715414088811337
3,https://medium.com/swlh/why-every-essay-you-write-should-be-the-best-essay-you-can-write-8c00f287f53,3400,25,0.05383599823969488,0.036927621861152136,0.04707264768827778
865,https://medium.com/splatterme/you-dont-have-to-be-likeable-3ce7b7ecf39c,3600,21,0.05750330057209915,0.0310192023633678,0.046909661288606616
6,https://medium.com/the-clever-quill/50-days-of-the-medium-partner-program-has-radically-changed-my-life-c39184cb1039,3000,32,0.046501393574886314,0.047267355982274745,0.04680777853784168
868,https://entrepreneurshandbook.co/the-ugly-pie-marc-andreessen-and-the-most-important-lesson-for-small-town-entrepreneurs-9365a3ed56b1,3800,17,0.06117060290450345,0.025110782865583457,0.046746674888935455
68,https://medium.com/the-write-brain/how-to-make-an-income-on-medium-dont-shoot-the-messenger-ce1103685b02,3800,17,0.06117060290450345,0.025110782865583457,0.046746674888935455
1163,https://medium.com/the-write-brain/what-to-do-if-youre-in-curation-jail-on-medium-ca11155bd2ff,3300,26,0.05200234707349274,0.03840472673559823,0.04656329893833493
1249,https://medium.com/@nickwignall/to-do-your-best-work-you-must-fall-in-love-with-hard-work-fa9588015ad0,3300,26,0.05200234707349274,0.03840472673559823,0.04656329893833493
1086,https://medium.com/finding-tom/medium-curation-may-not-matter-so-much-anymore-e1ccadbfce4b,4100,11,0.06667155640310987,0.016248153618906944,0.0465021952894287
978,https://medium.com/splatterme/fatal-mistakes-every-artist-should-avoid-db846fea146f,3400,24,0.05383599823969488,0.035450516986706065,0.04648180573849935
